change_gdp;change_age;GDP1990;Pop1990;Age1990;Region_LAC;Region_EAS;Region_SAS;Region_AFR;Region_MNA;Region_ECA;Region_DEV;birthrate1960_1965;birthrate1965_1970;birthrate1970_1975;birthrate1975_1980;birthrate1980_1985;birthrate1985_1990
0.15716;0.059752;10.675;2.7949;0.19646;0;0;0;0;1;0;0;47.582;46.992;46.355;44.03;42.524;37.891
0.17254;-0.067036;7.5153;2.0168;0.31593;0;0;0;1;0;0;0;50.281;50.086;50.4;49.515;47.101;44.751
-0.12753;0.26488;9.5698;2.0666;0.65316;0;0;0;0;0;1;0;19.549;18.717;18.778;18.679;17.436;15.999
0.61813;0.074565;9.5556;-2.6503;0.42106;0;0;0;1;0;0;0;38.452;36.436;33.26;29.304;26.674;24.31
0.039679;-0.074061;7.5849;1.3689;0.32606;0;0;0;1;0;0;0;46.045;45.873;46;46.373;46.714;46.711
0.81645;0.46823;10.26;1.1041;0.29392;0;1;0;0;0;0;0;33.555;25.244;22.143;16.938;17.004;17.777
0.61441;0.18668;9.4582;1.6635;0.57047;0;0;0;0;0;1;0;20.398;18.033;19.253;20.205;18.2;16.192
0.41104;0.36625;9.7434;0.6964;0.61145;0;0;0;0;0;1;0;17.826;17.013;16.75;16.768;14.992;12.718
0.22853;0.070739;9.1769;3.6053;0.27845;0;0;0;1;0;0;0;41.017;38.197;37.698;35.784;33.913;31.127
0.28869;0.2231;10.052;3.6685;0.70531;0;0;0;0;0;0;1;21.169;19.986;19.39;17.528;13.435;10.928
1.1256;0.25156;8.158;2.8525;0.3547;0;0;1;0;0;0;0;35.12;32.589;28.828;27.772;25.82;21.871
0.53221;0.011961;7.9535;0.74249;0.2327;0;0;0;0;1;0;0;52.052;51.442;48.667;47.207;44.877;45.097
0.41297;0.13893;9.1097;-0.89581;0.34461;1;0;0;0;0;0;0;44.581;39.365;34.557;29.706;29.358;28.671
0.30512;-0.02462;8.6535;-0.14766;0.28187;0;0;0;1;0;0;0;47.87;48.936;49.298;48.431;47.68;46.1
0.35278;0.16583;10.302;2.147;0.77878;0;0;0;0;0;0;1;14.85;14.785;13.518;11.701;11.325;12.968
0.16167;0.2326;10.83;1.8982;0.67327;0;0;0;0;0;0;1;18.939;17.629;14.312;11.691;11.621;11.895
0.045784;0.074311;8.205;2.5218;0.27252;0;0;0;0;1;0;0;47.305;45.822;45.973;45.354;42.826;38.443
0.32315;0.22752;9.0653;0.69126;0.4857;0;0;0;0;0;1;0;28.367;27.028;23.357;21.553;20.747;18.69
-0.40534;-0.061842;8.5898;1.6672;0.35561;0;0;0;0;0;1;0;44.731;41.911;40.816;38.333;40.714;42.109
0.8302;0.32808;8.7614;4.0357;0.33145;0;1;0;0;0;0;0;42.235;40.399;34.702;29.019;24.197;20.462
-0.11191;-0.042977;7.3098;1.3316;0.28988;0;0;0;1;0;0;0;47.729;48.091;48.252;47.703;46.135;43.993
0.9264;0.24533;9.4087;0.20041;0.35255;1;0;0;0;0;0;0;35.94;27.924;26.904;27.454;28.911;23.645
0.65856;0.10448;8.6457;2.1081;0.38338;0;0;0;0;1;0;0;45.191;43.209;39.125;36.508;33.13;29.038
0.55299;0.10322;9.2784;3.9889;0.3667;0;0;0;0;0;1;0;44.134;40.869;39.709;36.708;33.357;28.042
0.56942;0.014148;9.4047;1.2996;0.32514;0;0;0;0;0;1;0;44.879;38.243;36.665;34.37;35.339;36.403
0.83684;-0.052566;6.7247;2.8556;0.26576;0;0;0;1;0;0;0;49.272;48.992;48.666;48.885;49.254;49.597
-0.30341;0.087816;9.4882;3.9391;0.77034;0;0;0;0;0;1;0;17.881;15.189;15.477;15.131;15.004;13.416
-0.49863;0.039798;11.703;0.59413;0.1041;0;0;0;0;1;0;0;45.458;41.161;32.441;28.77;30.215;28.257
0.36104;0.16966;10.145;4.045;0.73153;0;0;0;0;0;0;1;18.295;16.914;13.532;11.982;12.802;13.742
0.58985;-0.0034318;7.2096;3.21;0.2671;0;0;0;1;0;0;0;49.128;48.724;47.92;47.349;45.98;44.864
0.34524;0.3089;10.506;5.5328;0.56004;0;0;0;0;0;0;1;22.185;17.962;15.601;14.815;15.406;15.737
0.67822;0.058329;9.1819;1.1346;0.69294;1;0;0;0;0;0;0;21.901;20.467;21.124;20.227;18.339;18.233
0.61547;0.015917;8.4814;3.0212;0.34332;0;0;0;0;0;1;0;36.037;33.654;33.46;34.061;35.504;35.809
0.14771;0.15224;9.6213;2.9888;0.27948;1;0;0;0;0;0;0;46.216;40.578;34.824;33.452;31.785;30.526
1.3066;0.066905;7.2948;4.2226;0.36917;0;1;0;0;0;0;0;40.619;37.36;35.561;32.894;31.445;29.793
0.27083;-0.019583;8.0177;2.4817;0.26249;0;0;0;0;1;0;0;50.723;52.963;53.355;55.1;54.698;53.426
0.45091;-0.047709;7.7143;2.0972;0.26785;0;0;0;1;0;0;0;49.714;50.333;49.708;49.082;47.06;47.129
0.17466;-0.055996;7.2564;2.3499;0.25902;0;0;0;1;0;0;0;48.22;47.489;47.604;47.615;44.935;39.534
